Model,Optimizer,Seed,Temperature,Vocab Diversity,Repetition Rate,Avg Word Length
LSTM,sgd,یاد,1.0,1.0,0,3.272727272727273
LSTM,sgd,یاد,1.3,1.0,0,4.0
LSTM,sgd,خوشی,0.7,0.9090909090909091,0,3.0
LSTM,sgd,خوشی,1.0,0.9090909090909091,0,3.3636363636363638
LSTM,sgd,خوشی,1.3,0.9090909090909091,0,3.090909090909091
Transformer,adam,محبت,0.7,1.0,0,2.727272727272727
Transformer,adam,محبت,1.0,1.0,0,3.727272727272727
Transformer,adam,محبت,1.3,0.9090909090909091,0,3.272727272727273
Transformer,adam,دل,0.7,1.0,0,2.4545454545454546
Transformer,adam,دل,1.0,0.9090909090909091,0,2.8181818181818183
Transformer,adam,دل,1.3,1.0,0,2.909090909090909
Transformer,adam,شام,0.7,0.9090909090909091,0,2.4545454545454546
Transformer,adam,شام,1.0,1.0,0,3.0
Transformer,adam,شام,1.3,1.0,0,2.909090909090909
Transformer,adam,یاد,0.7,0.9090909090909091,0,2.8181818181818183
Transformer,adam,یاد,1.0,1.0,0,3.090909090909091
Transformer,adam,یاد,1.3,1.0,0,3.090909090909091
Transformer,adam,خوشی,0.7,0.9090909090909091,0,3.090909090909091
Transformer,adam,خوشی,1.0,1.0,0,3.090909090909091
Transformer,adam,خوشی,1.3,1.0,0,4.090909090909091
Transformer,rmsprop,محبت,0.7,0.9090909090909091,0,2.6363636363636362
Transformer,rmsprop,محبت,1.0,1.0,0,2.909090909090909
Transformer,rmsprop,محبت,1.3,1.0,0,4.090909090909091
Transformer,rmsprop,دل,0.7,0.9090909090909091,0,2.1818181818181817
Transformer,rmsprop,دل,1.0,0.9090909090909091,0,2.727272727272727
Transformer,rmsprop,دل,1.3,1.0,0,3.727272727272727
Transformer,rmsprop,شام,0.7,0.9090909090909091,0,3.090909090909091
Transformer,rmsprop,شام,1.0,0.9090909090909091,0,3.4545454545454546
Transformer,rmsprop,شام,1.3,1.0,0,4.363636363636363
Transformer,rmsprop,یاد,0.7,0.9090909090909091,0,2.5454545454545454
Transformer,rmsprop,یاد,1.0,1.0,0,3.3636363636363638
Transformer,rmsprop,یاد,1.3,1.0,0,4.0
Transformer,rmsprop,خوشی,0.7,0.8181818181818182,0,2.5454545454545454
Transformer,rmsprop,خوشی,1.0,1.0,0,3.090909090909091
Transformer,rmsprop,خوشی,1.3,1.0,0,3.727272727272727
Transformer,sgd,محبت,0.7,0.8181818181818182,0,2.6363636363636362
Transformer,sgd,محبت,1.0,1.0,0,3.4545454545454546
Transformer,sgd,محبت,1.3,1.0,0,4.090909090909091
Transformer,sgd,دل,0.7,0.9090909090909091,0,2.6363636363636362
Transformer,sgd,دل,1.0,0.9090909090909091,0,3.4545454545454546
Transformer,sgd,دل,1.3,1.0,0,3.1818181818181817
Transformer,sgd,شام,0.7,0.8181818181818182,0,2.4545454545454546
Transformer,sgd,شام,1.0,1.0,0,3.1818181818181817
Transformer,sgd,شام,1.3,1.0,0,3.8181818181818183
Transformer,sgd,یاد,0.7,0.7272727272727273,1,3.0
Transformer,sgd,یاد,1.0,1.0,0,3.1818181818181817
Transformer,sgd,یاد,1.3,1.0,0,3.3636363636363638
Transformer,sgd,خوشی,0.7,1.0,0,2.909090909090909
Transformer,sgd,خوشی,1.0,0.8181818181818182,0,2.909090909090909
Transformer,sgd,خوشی,1.3,1.0,0,3.090909090909091
